uri,barcode,room,area,location_profile,repo_owner,
/locations/2396,82909,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  1]"
/locations/2405,82896,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  10]"
/locations/2406,82902,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  11]"
/locations/2407,82908,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  12]"
/locations/2408,82914,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  13]"
/locations/2409,82920,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  14]"
/locations/2410,82926,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  15]"
/locations/2411,82932,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  16]"
/locations/2412,82938,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  17]"
/locations/2413,82877,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  18]"
/locations/2414,82883,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  19]"
/locations/2397,82915,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  2]"
/locations/2415,82889,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  20]"
/locations/2416,82895,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  21]"
/locations/2417,82901,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  22]"
/locations/2418,82907,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  23]"
/locations/2419,82913,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  24]"
/locations/2420,82919,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  25]"
/locations/2421,82925,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  26]"
/locations/2424,83014,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  29]"
/locations/2398,82921,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  3]"
/locations/2426,83026,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  31]"
/locations/2427,83032,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  32]"
/locations/2428,83038,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  33]"
/locations/2429,83044,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  34]"
/locations/2430,83050,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  35]"
/locations/2431,83056,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  36]"
/locations/2432,83062,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  37]"
/locations/2433,83068,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  38]"
/locations/3138,83074,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  39]"
/locations/2399,82927,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  4]"
/locations/2400,82933,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  5]"
/locations/2401,82939,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  6]"
/locations/2402,82878,B50,,/location_profiles/31,/repositories/12,"SML, B51-A, Microfilm Cabinet [Drawer:  7]"
