location_uri,barcode,title,room,coordinate_1_indicator,tc_uri,indicator,barcode
/locations/3076,NULL,"SML, B54 [Map Print Carton: 1]",B54,1,NULL,NULL,NULL
/locations/3077,NULL,"SML, B54 [Map Print Carton: 2]",B54,2,NULL,NULL,NULL
/locations/3078,NULL,"SML, B54 [Map Print Carton: 3]",B54,3,NULL,NULL,NULL
/locations/3079,NULL,"SML, B54 [Map Print Carton: 4]",B54,4,NULL,NULL,NULL
/locations/3080,NULL,"SML, B54 [Map Print Carton: 5]",B54,5,NULL,NULL,NULL
/locations/3081,NULL,"SML, B54 [Map Print Carton: 6]",B54,6,NULL,NULL,NULL
/locations/3082,NULL,"SML, B54 [Map Print Carton: 7]",B54,7,NULL,NULL,NULL
/locations/3083,NULL,"SML, B54 [Map Print Carton: 8]",B54,8,NULL,NULL,NULL
/locations/3084,NULL,"SML, B54 [Map Print Carton: 9]",B54,9,NULL,NULL,NULL
/locations/3085,NULL,"SML, B54 [Map Print Carton: 10]",B54,10,NULL,NULL,NULL
/locations/3086,NULL,"SML, B54 [Map Print Carton: 11]",B54,11,NULL,NULL,NULL
/locations/1838,NULL,"SML, B57 [Range: 1, Section: a, Shelf: 1]",B57,1,NULL,NULL,NULL
/locations/1839,NULL,"SML, B57 [Range: 1, Section: a, Shelf: 2]",B57,1,NULL,NULL,NULL
/locations/1840,NULL,"SML, B57 [Range: 1, Section: a, Shelf: 3]",B57,1,NULL,NULL,NULL
/locations/1841,NULL,"SML, B57 [Range: 1, Section: a, Shelf: 4]",B57,1,NULL,NULL,NULL
/locations/1842,NULL,"SML, B57 [Range: 1, Section: a, Shelf: 5]",B57,1,NULL,NULL,NULL
/locations/1843,NULL,"SML, B57 [Range: 1, Section: a, Shelf: 6]",B57,1,NULL,NULL,NULL
/locations/2077,NULL,"SML, B57 [Range: 2, Section: a, Shelf: 5]",B57,2,NULL,NULL,NULL
/locations/2078,NULL,"SML, B57 [Range: 2, Section: a, Shelf: 6]",B57,2,NULL,NULL,NULL
/locations/2079,NULL,"SML, B57 [Range: 2, Section: b, Shelf: 1]",B57,2,NULL,NULL,NULL
/locations/2080,NULL,"SML, B57 [Range: 2, Section: b, Shelf: 2]",B57,2,NULL,NULL,NULL
/locations/2081,NULL,"SML, B57 [Range: 2, Section: b, Shelf: 3]",B57,2,NULL,NULL,NULL
/locations/2082,NULL,"SML, B57 [Range: 2, Section: b, Shelf: 4]",B57,2,NULL,NULL,NULL
/locations/2083,NULL,"SML, B57 [Range: 2, Section: b, Shelf: 5]",B57,2,NULL,NULL,NULL
/locations/2084,NULL,"SML, B57 [Range: 2, Section: b, Shelf: 6]",B57,2,NULL,NULL,NULL
/locations/2085,NULL,"SML, B57 [Range: 2, Section: c, Shelf: 1]",B57,2,NULL,NULL,NULL
/locations/2086,NULL,"SML, B57 [Range: 2, Section: c, Shelf: 2]",B57,2,NULL,NULL,NULL
/locations/2087,NULL,"SML, B57 [Range: 2, Section: c, Shelf: 3]",B57,2,NULL,NULL,NULL
/locations/2088,NULL,"SML, B57 [Range: 2, Section: c, Shelf: 4]",B57,2,NULL,NULL,NULL
/locations/2089,NULL,"SML, B57 [Range: 2, Section: c, Shelf: 5]",B57,2,NULL,NULL,NULL
/locations/2090,NULL,"SML, B57 [Range: 2, Section: c, Shelf: 6]",B57,2,NULL,NULL,NULL
/locations/2036,NULL,"SML, B57 [Range: 4, Section: a, Shelf: 6]",B57,4,NULL,NULL,NULL
/locations/2042,NULL,"SML, B57 [Range: 4, Section: b, Shelf: 6]",B57,4,NULL,NULL,NULL
/locations/2048,NULL,"SML, B57 [Range: 4, Section: c, Shelf: 6]",B57,4,NULL,NULL,NULL
/locations/2091,NULL,"SML, B57-B [Range: 1, Section: a, Shelf: 1]",B57-B,1,NULL,NULL,NULL
/locations/2092,NULL,"SML, B57-B [Range: 1, Section: a, Shelf: 2]",B57-B,1,NULL,NULL,NULL
/locations/2093,NULL,"SML, B57-B [Range: 1, Section: a, Shelf: 3]",B57-B,1,NULL,NULL,NULL
/locations/2094,NULL,"SML, B57-B [Range: 1, Section: a, Shelf: 4]",B57-B,1,NULL,NULL,NULL
/locations/2095,NULL,"SML, B57-B [Range: 1, Section: a, Shelf: 5]",B57-B,1,NULL,NULL,NULL
/locations/2096,NULL,"SML, B57-B [Range: 1, Section: a, Shelf: 6]",B57-B,1,NULL,NULL,NULL
/locations/2097,NULL,"SML, B57-B [Range: 1, Section: b, Shelf: 1]",B57-B,1,NULL,NULL,NULL
/locations/2098,NULL,"SML, B57-B [Range: 1, Section: b, Shelf: 2]",B57-B,1,NULL,NULL,NULL
/locations/2100,NULL,"SML, B57-B [Range: 1, Section: b, Shelf: 4]",B57-B,1,NULL,NULL,NULL
