barcode,building,room,coordinate_1_label,coordinate_1_indicator,coordinate_2_label,coordinate_2_indicator,coordinate_3_label,coordinate_3_indicator,dimensions (width x height x depth,repo_uri,,,,
80572,SML,B51-A,Range,1,Section,A,Shelf,1,/location_profiles/1,/repositories/12,,,,
80571,SML,B51-A,Range,1,Section,A,Shelf,2,/location_profiles/1,/repositories/12,,,,
80570,SML,B51-A,Range,1,Section,A,Shelf,3,/location_profiles/1,/repositories/12,,,,
80569,SML,B51-A,Range,1,Section,A,Shelf,4,/location_profiles/1,/repositories/12,,,,
80568,SML,B51-A,Range,1,Section,A,Shelf,5,/location_profiles/1,/repositories/12,,,,
80567,SML,B51-A,Range,1,Section,B,Shelf,1,/location_profiles/1,/repositories/12,,,,
80573,SML,B51-A,Range,1,Section,B,Shelf,2,/location_profiles/1,/repositories/12,,,,
80578,SML,B51-A,Range,1,Section,B,Shelf,3,/location_profiles/1,/repositories/12,,,,
80577,SML,B51-A,Range,1,Section,B,Shelf,4,/location_profiles/1,/repositories/12,,,,
80576,SML,B51-A,Range,1,Section,B,Shelf,5,/location_profiles/1,/repositories/12,,,,
80575,SML,B51-A,Range,1,Section,B,Shelf,6,/location_profiles/1,/repositories/12,,,,
80836,SML,B51-A,Range,2,Section,B,Shelf,1,/location_profiles/1,/repositories/12,,,,
80842,SML,B51-A,Range,2,Section,B,Shelf,2,/location_profiles/1,/repositories/12,,,,
80848,SML,B51-A,Range,2,Section,B,Shelf,3,/location_profiles/1,/repositories/12,,,,
80854,SML,B51-A,Range,2,Section,B,Shelf,4,/location_profiles/1,/repositories/12,,,,
80860,SML,B51-A,Range,2,Section,B,Shelf,5,/location_profiles/1,/repositories/12,,,,
80866,SML,B51-A,Range,2,Section,B,Shelf,6,/location_profiles/1,/repositories/12,,,,
80872,SML,B51-A,Range,2,Section,A,Shelf,1,/location_profiles/1,/repositories/12,,,,
80878,SML,B51-A,Range,2,Section,A,Shelf,2,/location_profiles/1,/repositories/12,,,,
80884,SML,B51-A,Range,2,Section,A,Shelf,3,/location_profiles/1,/repositories/12,,,,
80890,SML,B51-A,Range,2,Section,A,Shelf,4,/location_profiles/1,/repositories/12,,,,
80896,SML,B51-A,Range,2,Section,A,Shelf,5,/location_profiles/1,/repositories/12,,,,
80835,SML,B51-A,Range,2,Section,A,Shelf,6,/location_profiles/1,/repositories/12,,,,
80841,SML,B51-A,Range,3,Section,C,Shelf,1,/location_profiles/1,/repositories/12,,,,
80847,SML,B51-A,Range,3,Section,C,Shelf,2,/location_profiles/1,/repositories/12,,,,
80853,SML,B51-A,Range,3,Section,C,Shelf,3,/location_profiles/1,/repositories/12,,,,
80859,SML,B51-A,Range,3,Section,C,Shelf,4,/location_profiles/1,/repositories/12,,,,
80865,SML,B51-A,Range,3,Section,C,Shelf,5,/location_profiles/1,/repositories/12,,,,
80871,SML,B51-A,Range,3,Section,C,Shelf,6,/location_profiles/1,/repositories/12,,,,
80877,SML,B51-A,Range,3,Section,B,Shelf,1,/location_profiles/1,/repositories/12,,,,
80883,SML,B51-A,Range,3,Section,B,Shelf,2,/location_profiles/1,/repositories/12,,,,
80889,SML,B51-A,Range,3,Section,B,Shelf,3,/location_profiles/1,/repositories/12,,,,
80895,SML,B51-A,Range,3,Section,B,Shelf,4,/location_profiles/1,/repositories/12,,,,
80834,SML,B51-A,Range,3,Section,B,Shelf,5,/location_profiles/1,/repositories/12,,,,
80840,SML,B51-A,Range,3,Section,B,Shelf,6,/location_profiles/1,/repositories/12,,,,
80846,SML,B51-A,Range,3,Section,A,Shelf,1,/location_profiles/1,/repositories/12,,,,
80852,SML,B51-A,Range,3,Section,A,Shelf,2,/location_profiles/1,/repositories/12,,,,
80858,SML,B51-A,Range,3,Section,A,Shelf,3,/location_profiles/1,/repositories/12,,,,
80864,SML,B51-A,Range,3,Section,A,Shelf,4,/location_profiles/1,/repositories/12,,,,
80870,SML,B51-A,Range,3,Section,A,Shelf,5,/location_profiles/1,/repositories/12,,,,
80876,SML,B51-A,Range,3,Section,A,Shelf,6,/location_profiles/1,/repositories/12,,,,
80882,SML,B51-A,Range,4,Section,C,Shelf,1,/location_profiles/1,/repositories/12,,,,
80888,SML,B51-A,Range,4,Section,C,Shelf,2,/location_profiles/1,/repositories/12,,,,
80894,SML,B51-A,Range,4,Section,C,Shelf,3,/location_profiles/1,/repositories/12,,,,
80833,SML,B51-A,Range,4,Section,C,Shelf,4,/location_profiles/1,/repositories/12,,,,
80839,SML,B51-A,Range,4,Section,C,Shelf,5,/location_profiles/1,/repositories/12,,,,
80845,SML,B51-A,Range,4,Section,C,Shelf,6,/location_profiles/1,/repositories/12,,,,
80851,SML,B51-A,Range,4,Section,B,Shelf,1,/location_profiles/1,/repositories/12,,,,
80857,SML,B51-A,Range,4,Section,B,Shelf,2,/location_profiles/1,/repositories/12,,,,
80869,SML,B51-A,Range,4,Section,B,Shelf,4,/location_profiles/1,/repositories/12,,,,
80875,SML,B51-A,Range,4,Section,B,Shelf,5,/location_profiles/1,/repositories/12,,,,
80881,SML,B51-A,Range,4,Section,B,Shelf,6,/location_profiles/1,/repositories/12,,,,
80887,SML,B51-A,Range,4,Section,A,Shelf,1,/location_profiles/1,/repositories/12,,,,
80832,SML,B51-A,Range,4,Section,A,Shelf,3,/location_profiles/1,/repositories/12,,,,
80838,SML,B51-A,Range,4,Section,A,Shelf,4,/location_profiles/1,/repositories/12,,,,
80844,SML,B51-A,Range,4,Section,A,Shelf,5,/location_profiles/1,/repositories/12,,,,
80850,SML,B51-A,Range,4,Section,A,Shelf,6,/location_profiles/1,/repositories/12,,,,
80856,SML,B51-A,Range,5,Section,C,Shelf,1,/location_profiles/1,/repositories/12,,,,
80862,SML,B51-A,Range,5,Section,C,Shelf,2,/location_profiles/1,/repositories/12,,,,
80874,SML,B51-A,Range,5,Section,C,Shelf,4,/location_profiles/1,/repositories/12,,,,
80886,SML,B51-A,Range,5,Section,C,Shelf,6,/location_profiles/1,/repositories/12,,,,
80892,SML,B51-A,Range,5,Section,B,Shelf,1,/location_profiles/1,/repositories/12,,,,
80831,SML,B51-A,Range,5,Section,B,Shelf,2,/location_profiles/1,/repositories/12,,,,
80837,SML,B51-A,Range,5,Section,B,Shelf,3,/location_profiles/1,/repositories/12,,,,
80843,SML,B51-A,Range,5,Section,B,Shelf,4,/location_profiles/1,/repositories/12,,,,
80855,SML,B51-A,Range,5,Section,B,Shelf,6,/location_profiles/1,/repositories/12,,,,
80861,SML,B51-A,Range,5,Section,A,Shelf,1,/location_profiles/1,/repositories/12,,,,
80867,SML,B51-A,Range,5,Section,A,Shelf,2,/location_profiles/1,/repositories/12,,,,
80873,SML,B51-A,Range,5,Section,A,Shelf,3,/location_profiles/1,/repositories/12,,,,
80879,SML,B51-A,Range,5,Section,A,Shelf,4,/location_profiles/1,/repositories/12,,,,
80885,SML,B51-A,Range,5,Section,A,Shelf,5,/location_profiles/1,/repositories/12,,,,
80891,SML,B51-A,Range,5,Section,A,Shelf,6,/location_profiles/1,/repositories/12,,,,
80902,SML,B51-A,Range,6,Section,C,Shelf,1,/location_profiles/1,/repositories/12,,,,
80908,SML,B51-A,Range,6,Section,C,Shelf,2,/location_profiles/1,/repositories/12,,,,
80914,SML,B51-A,Range,6,Section,C,Shelf,3,/location_profiles/1,/repositories/12,,,,
80920,SML,B51-A,Range,6,Section,C,Shelf,4,/location_profiles/1,/repositories/12,,,,
80926,SML,B51-A,Range,6,Section,C,Shelf,5,/location_profiles/1,/repositories/12,,,,
80932,SML,B51-A,Range,6,Section,C,Shelf,6,/location_profiles/1,/repositories/12,,,,
80938,SML,B51-A,Range,6,Section,B,Shelf,1,/location_profiles/1,/repositories/12,,,,
80944,SML,B51-A,Range,6,Section,B,Shelf,2,/location_profiles/1,/repositories/12,,,,
80950,SML,B51-A,Range,6,Section,B,Shelf,3,/location_profiles/1,/repositories/12,,,,
80956,SML,B51-A,Range,6,Section,B,Shelf,4,/location_profiles/1,/repositories/12,,,,
80962,SML,B51-A,Range,6,Section,B,Shelf,5,/location_profiles/1,/repositories/12,,,,
80901,SML,B51-A,Range,6,Section,B,Shelf,6,/location_profiles/1,/repositories/12,,,,
80907,SML,B51-A,Range,6,Section,A,Shelf,1,/location_profiles/1,/repositories/12,,,,
80913,SML,B51-A,Range,6,Section,A,Shelf,2,/location_profiles/1,/repositories/12,,,,
80919,SML,B51-A,Range,6,Section,A,Shelf,3,/location_profiles/1,/repositories/12,,,,
80925,SML,B51-A,Range,6,Section,A,Shelf,4,/location_profiles/1,/repositories/12,,,,
80931,SML,B51-A,Range,6,Section,A,Shelf,5,/location_profiles/1,/repositories/12,,,,
80937,SML,B51-A,Range,6,Section,A,Shelf,6,/location_profiles/1,/repositories/12,,,,
80669,SML,B51-A,Range,17,Section,B,Shelf,7,/location_profiles/3,/repositories/12,,,,
80675,SML,B51-A,Range,17,Section,B,Shelf,8,/location_profiles/3,/repositories/12,,,,
80681,SML,B51-A,Range,17,Section,B,Shelf,9,/location_profiles/3,/repositories/12,,,,
80687,SML,B51-A,Range,17,Section,B,Shelf,10,/location_profiles/3,/repositories/12,,,,
80693,SML,B51-A,Range,17,Section,B,Shelf,11,/location_profiles/3,/repositories/12,,,,
80704,SML,B51-A,Range,17,Section,B,Shelf,12,/location_profiles/3,/repositories/12,,,,
80746,SML,B51-A,Range,17,Section,C,Shelf,8,/location_profiles/3,/repositories/12,,,,
80752,SML,B51-A,Range,17,Section,C,Shelf,9,/location_profiles/3,/repositories/12,,,,
80758,SML,B51-A,Range,17,Section,C,Shelf,10,/location_profiles/3,/repositories/12,,,,
80764,SML,B51-A,Range,17,Section,C,Shelf,11,/location_profiles/3,/repositories/12,,,,
80703,SML,B51-A,Range,17,Section,C,Shelf,12,/location_profiles/3,/repositories/12,,,,
80709,SML,B51-A,Range,17,Section,C,Shelf,15,/location_profiles/3,/repositories/12,,,,
80588,SML,B51-A,Range,24,Section,B,Shelf,1,/location_profiles/1,/repositories/12,,,,
80594,SML,B51-A,Range,24,Section,B,Shelf,2,/location_profiles/1,/repositories/12,,,,
81193,SML,B70,Range,7,Section,C,Shelf,7,/location_profiles/4,/repositories/12,,,,
81162,SML,B70,Range,7,Section,D,Shelf,7,/location_profiles/4,/repositories/12,,,,
80785,SML,B70,Range,10,Section,E,Shelf,1,/location_profiles/4,/repositories/12,,,,
80791,SML,B70,Range,10,Section,E,Shelf,2,/location_profiles/4,/repositories/12,,,,
80797,SML,B70,Range,10,Section,E,Shelf,3,/location_profiles/4,/repositories/12,,,,
80803,SML,B70,Range,10,Section,E,Shelf,4,/location_profiles/4,/repositories/12,,,,
80809,SML,B70,Range,10,Section,E,Shelf,5,/location_profiles/4,/repositories/12,,,,
80815,SML,B70,Range,10,Section,E,Shelf,6,/location_profiles/4,/repositories/12,,,,
80821,SML,B70,Range,10,Section,E,Shelf,7,/location_profiles/4,/repositories/12,,,,
80760,SML,B70,Range,13,Section,E,Shelf,1,/location_profiles/4,/repositories/12,,,,
81519,SML,B70,Range,14,Section,E,Shelf,1,/location_profiles/4,/repositories/12,,,,
81525,SML,B70,Range,14,Section,E,Shelf,2,/location_profiles/4,/repositories/12,,,,
81531,SML,B70,Range,14,Section,E,Shelf,3,/location_profiles/4,/repositories/12,,,,
81537,SML,B70,Range,14,Section,E,Shelf,4,/location_profiles/4,/repositories/12,,,,
82405,SML,B57-A,Drawer,162,,,,,/location_profiles/6,/repositories/12,,,,
82411,SML,B57-A,Drawer,163,,,,,/location_profiles/6,/repositories/12,,,,
82350,SML,B57-A,Drawer,164,,,,,/location_profiles/6,/repositories/12,,,,
82356,SML,B57-A,Drawer,165,,,,,/location_profiles/6,/repositories/12,,,,
82156,SML,B57-A,Drawer,166,,,,,/location_profiles/6,/repositories/12,,,,
82162,SML,B57-A,Drawer,167,,,,,/location_profiles/6,/repositories/12,,,,
82168,SML,B57-A,Drawer,168,,,,,/location_profiles/6,/repositories/12,,,,
82174,SML,B57-A,Drawer,169,,,,,/location_profiles/6,/repositories/12,,,,
82180,SML,B57-A,Drawer,170,,,,,/location_profiles/6,/repositories/12,,,,
82186,SML,B57-A,Drawer,171,,,,,/location_profiles/6,/repositories/12,,,,
82192,SML,B57-A,Drawer,172,,,,,/location_profiles/6,/repositories/12,,,,
82198,SML,B57-A,Drawer,173,,,,,/location_profiles/6,/repositories/12,,,,
82204,SML,B57-A,Drawer,174,,,,,/location_profiles/6,/repositories/12,,,,
82210,SML,B57-A,Drawer,175,,,,,/location_profiles/6,/repositories/12,,,,
82216,SML,B57-A,Drawer,176,,,,,/location_profiles/6,/repositories/12,,,,
82155,SML,B57-A,Drawer,177,,,,,/location_profiles/6,/repositories/12,,,,
82161,SML,B57-A,Drawer,178,,,,,/location_profiles/6,/repositories/12,,,,
82167,SML,B57-A,Drawer,179,,,,,/location_profiles/6,/repositories/12,,,,
82173,SML,B57-A,Drawer,180,,,,,/location_profiles/6,/repositories/12,,,,
82179,SML,B57-A,Drawer,181,,,,,/location_profiles/6,/repositories/12,,,,
82185,SML,B57-A,Drawer,182,,,,,/location_profiles/6,/repositories/12,,,,
82191,SML,B57-A,Drawer,183,,,,,/location_profiles/6,/repositories/12,,,,
82073,SML,B57-A,Drawer,184,,,,,/location_profiles/6,/repositories/12,,,,
82079,SML,B57-A,Drawer,185,,,,,/location_profiles/6,/repositories/12,,,,
82197,SML,B57-A,Drawer,186,,,,,/location_profiles/6,/repositories/12,,,,
82203,SML,B57-A,Drawer,187,,,,,/location_profiles/6,/repositories/12,,,,
82209,SML,B57-A,Drawer,188,,,,,/location_profiles/6,/repositories/12,,,,
82215,SML,B57-A,Drawer,189,,,,,/location_profiles/6,/repositories/12,,,,
82154,SML,B57-A,Drawer,190,,,,,/location_profiles/6,/repositories/12,,,,
82160,SML,B57-A,Drawer,191,,,,,/location_profiles/6,/repositories/12,,,,
82166,SML,B57-A,Drawer,192,,,,,/location_profiles/6,/repositories/12,,,,
82172,SML,B57-A,Drawer,193,,,,,/location_profiles/6,/repositories/12,,,,
82178,SML,B57-A,Drawer,194,,,,,/location_profiles/6,/repositories/12,,,,
82184,SML,B57-A,Drawer,195,,,,,/location_profiles/6,/repositories/12,,,,
82190,SML,B57-A,Drawer,196,,,,,/location_profiles/6,/repositories/12,,,,
82196,SML,B57-A,Drawer,197,,,,,/location_profiles/6,/repositories/12,,,,
82202,SML,B57-A,Drawer,198,,,,,/location_profiles/6,/repositories/12,,,,
82208,SML,B57-A,Drawer,199,,,,,/location_profiles/6,/repositories/12,,,,
82214,SML,B57-A,Drawer,200,,,,,/location_profiles/6,/repositories/12,,,,
82153,SML,B57-A,Drawer,201,,,,,/location_profiles/6,/repositories/12,,,,
82159,SML,B57-A,Drawer,202,,,,,/location_profiles/6,/repositories/12,,,,
82165,SML,B57-A,Drawer,203,,,,,/location_profiles/6,/repositories/12,,,,
82171,SML,B57-A,Drawer,204,,,,,/location_profiles/6,/repositories/12,,,,
82177,SML,B57-A,Drawer,205,,,,,/location_profiles/6,/repositories/12,,,,
82546,SML,B51-B,Drawer,206,,,,,/location_profiles/6,/repositories/12,,,,206
82485,SML,B51-B,Drawer,207,,,,,/location_profiles/6,/repositories/12,,,,207
82491,SML,B51-B,Drawer,208,,,,,/location_profiles/6,/repositories/12,,,,208
82497,SML,B51-B,Drawer,209,,,,,/location_profiles/6,/repositories/12,,,,209
82503,SML,B51-B,Drawer,210,,,,,/location_profiles/6,/repositories/12,,,,210
82163,SML,B57-A,Drawer,20,,,,,/location_profiles/6,/repositories/12,,,,
82169,SML,B57-A,Drawer,21,,,,,/location_profiles/6,/repositories/12,,,,
82175,SML,B57-A,Drawer,22,,,,,/location_profiles/6,/repositories/12,,,,
82181,SML,B57-A,Drawer,23,,,,,/location_profiles/6,/repositories/12,,,,
82187,SML,B57-A,Drawer,24,,,,,/location_profiles/6,/repositories/12,,,,
82193,SML,B57-A,Drawer,25,,,,,/location_profiles/6,/repositories/12,,,,
82199,SML,B57-A,Drawer,26,,,,,/location_profiles/6,/repositories/12,,,,
82205,SML,B57-A,Drawer,27,,,,,/location_profiles/6,/repositories/12,,,,
82211,SML,B57-A,Drawer,28,,,,,/location_profiles/6,/repositories/12,,,,
82222,SML,B57-A,Drawer,29,,,,,/location_profiles/6,/repositories/12,,,,
