barcode,building,room,coordinate_1_label,coordinate_1_indicator,coordinate_2_label,coordinate_2_indicator,coordinate_3_label,coordinate_3_indicator,dimensions (width x height x depth,repo_uri
82019,SML,B57,Range,4,Section,E,Shelf,1,/location_profiles/12,/repositories/12
82025,SML,B57,Range,4,Section,E,Shelf,2,/location_profiles/12,/repositories/12
82031,SML,B57,Range,4,Section,E,Shelf,3,/location_profiles/12,/repositories/12
82037,SML,B57,Range,4,Section,E,Shelf,4,/location_profiles/12,/repositories/12
82043,SML,B57,Range,4,Section,E,Shelf,5,/location_profiles/30,/repositories/12
80508,SML,B51-E,Drawer,864,,,,,/location_profiles/16,/repositories/12
80514,SML,B51-E,Drawer,865,,,,,/location_profiles/16,/repositories/12
80520,SML,B51-E,Drawer,866,,,,,/location_profiles/16,/repositories/12
80526,SML,B51-E,Drawer,867,,,,,/location_profiles/16,/repositories/12
80532,SML,B51-E,Drawer,868,,,,,/location_profiles/16,/repositories/12
80538,SML,B51-E,Drawer,869,,,,,/location_profiles/16,/repositories/12
80544,SML,B51-E,Drawer,870,,,,,/location_profiles/16,/repositories/12
80550,SML,B51-E,Drawer,871,,,,,/location_profiles/16,/repositories/12
80556,SML,B51-E,Drawer,872,,,,,/location_profiles/16,/repositories/12
80562,SML,B51-E,Drawer,873,,,,,/location_profiles/16,/repositories/12
80501,SML,B51-E,Drawer,874,,,,,/location_profiles/16,/repositories/12
80507,SML,B51-E,Drawer,875,,,,,/location_profiles/16,/repositories/12
82941,SML,B57-B,Range,3,Section,B,Shelf,7,/location_profiles/28,/repositories/12
82916,SML,B57-B,Range,3,Section,C,Shelf,7,/location_profiles/28,/repositories/12
82777,SML,B57-B,Range,3,Section,E,Shelf,1,/location_profiles/28,/repositories/12
82783,SML,B57-B,Range,3,Section,E,Shelf,2,/location_profiles/28,/repositories/12
82789,SML,B57-B,Range,3,Section,E,Shelf,3,/location_profiles/28,/repositories/12
82795,SML,B57-B,Range,3,Section,E,Shelf,4,/location_profiles/28,/repositories/12
82801,SML,B57-B,Range,3,Section,E,Shelf,5,/location_profiles/28,/repositories/12
82771,SML,B57-B,Range,4,Section,A,Shelf,7,/location_profiles/28,/repositories/12
82631,SML,B50,Range,1,Section,A,Shelf,1,/location_profiles/28,/repositories/12
82637,SML,B50,Range,1,Section,A,Shelf,2,/location_profiles/28,/repositories/12
82643,SML,B50,Range,1,Section,A,Shelf,3,/location_profiles/28,/repositories/12
82649,SML,B50,Range,1,Section,A,Shelf,4,/location_profiles/28,/repositories/12
82655,SML,B50,Range,1,Section,A,Shelf,5,/location_profiles/28,/repositories/12
82661,SML,B50,Range,1,Section,A,Shelf,6,/location_profiles/28,/repositories/12
82667,SML,B50,Range,1,Section,A,Shelf,7,/location_profiles/28,/repositories/12
82673,SML,B50,Range,1,Section,B,Shelf,1,/location_profiles/28,/repositories/12
