barcode,building,room,coordinate_1_label,coordinate_1_indicator,location_profile,repo_owner
,SML,B51-B,Drawer,100,/location_profiles/6,/repositories/12
,SML,B51-B,Drawer,96,/location_profiles/6,/repositories/12
82931,SML,B50,Drawer,27,/location_profiles/31,/repositories/12
82937,SML,B50,Drawer,28,/location_profiles/31,/repositories/12
83020,SML,B50,Drawer,30,/location_profiles/31,/repositories/12
83013,SML,B50,Drawer,40,/location_profiles/31,/repositories/12
83019,SML,B50,Drawer,41,/location_profiles/31,/repositories/12
83025,SML,B50,Drawer,42,/location_profiles/31,/repositories/12
83031,SML,B50,Drawer,43,/location_profiles/31,/repositories/12
83037,SML,B50,Drawer,44,/location_profiles/31,/repositories/12
83043,SML,B50,Drawer,45,/location_profiles/31,/repositories/12
83049,SML,B50,Drawer,46,/location_profiles/31,/repositories/12
83055,SML,B50,Drawer,47,/location_profiles/31,/repositories/12
83061,SML,B50,Drawer,48,/location_profiles/31,/repositories/12
83067,SML,B50,Drawer,49,/location_profiles/31,/repositories/12
83073,SML,B50,Drawer,50,/location_profiles/31,/repositories/12
83012,SML,B50,Drawer,51,/location_profiles/31,/repositories/12
83018,SML,B50,Drawer,52,/location_profiles/31,/repositories/12
83024,SML,B50,Drawer,53,/location_profiles/31,/repositories/12
83030,SML,B50,Drawer,54,/location_profiles/31,/repositories/12
83036,SML,B50,Drawer,55,/location_profiles/31,/repositories/12
83042,SML,B50,Drawer,56,/location_profiles/31,/repositories/12
83048,SML,B50,Drawer,57,/location_profiles/31,/repositories/12
83054,SML,B50,Drawer,58,/location_profiles/31,/repositories/12
83060,SML,B50,Drawer,59,/location_profiles/31,/repositories/12
83066,SML,B50,Drawer,60,/location_profiles/31,/repositories/12
