uri,barcode,location_profile,owner_repo,coordinate_2_indicator
/locations/2227,81079,/location_profiles/2,/repositories/12,A
/locations/2228,81085,/location_profiles/2,/repositories/12,A
/locations/2229,81091,/location_profiles/2,/repositories/12,A
/locations/2230,81030,/location_profiles/2,/repositories/12,A
/locations/2232,81043,/location_profiles/2,/repositories/12,B
/locations/2233,81049,/location_profiles/2,/repositories/12,B
/locations/2234,81055,/location_profiles/2,/repositories/12,B
/locations/2235,81061,/location_profiles/2,/repositories/12,B
/locations/2236,81067,/location_profiles/2,/repositories/12,B
/locations/2238,81080,/location_profiles/2,/repositories/12,C
/locations/2239,81086,/location_profiles/2,/repositories/12,C
/locations/2240,81092,/location_profiles/2,/repositories/12,C
/locations/2241,81031,/location_profiles/2,/repositories/12,C
/locations/2242,81037,/location_profiles/2,/repositories/12,C
/locations/2244,80715,/location_profiles/2,/repositories/12,A
/locations/2245,80721,/location_profiles/2,/repositories/12,A
/locations/2246,80727,/location_profiles/2,/repositories/12,A
/locations/2247,80733,/location_profiles/2,/repositories/12,A
/locations/2248,80739,/location_profiles/2,/repositories/12,A
/locations/2250,80745,/location_profiles/2,/repositories/12,B
/locations/2251,80751,/location_profiles/2,/repositories/12,B
/locations/2252,80757,/location_profiles/2,/repositories/12,B
/locations/2253,80763,/location_profiles/2,/repositories/12,B
/locations/2254,80702,/location_profiles/2,/repositories/12,B
/locations/2256,80708,/location_profiles/2,/repositories/12,C
/locations/2257,80714,/location_profiles/2,/repositories/12,C
/locations/2258,80720,/location_profiles/2,/repositories/12,C
/locations/2259,80726,/location_profiles/2,/repositories/12,C
/locations/2260,80732,/location_profiles/2,/repositories/12,C
/locations/2268,80633,/location_profiles/3,/repositories/12,B
/locations/2269,80639,/location_profiles/3,/repositories/12,B
/locations/2270,80645,/location_profiles/3,/repositories/12,B
/locations/2271,80651,/location_profiles/3,/repositories/12,B
/locations/2272,80657,/location_profiles/3,/repositories/12,B
/locations/2273,80663,/location_profiles/3,/repositories/12,B
/locations/2274,80710,/location_profiles/3,/repositories/12,C
/locations/2275,80716,/location_profiles/3,/repositories/12,C
/locations/2276,80722,/location_profiles/3,/repositories/12,C
/locations/2277,80728,/location_profiles/3,/repositories/12,C
/locations/2278,80734,/location_profiles/3,/repositories/12,C
/locations/2279,80740,/location_profiles/3,/repositories/12,C
/locations/3473,81934,/location_profiles/4,/repositories/12,A
/locations/3474,81940,/location_profiles/4,/repositories/12,A
/locations/3475,81946,/location_profiles/4,/repositories/12,A
/locations/3476,81952,/location_profiles/4,/repositories/12,A
/locations/3477,81891,/location_profiles/4,/repositories/12,A
/locations/1335,80818,/location_profiles/4,/repositories/12,A
/locations/1336,80824,/location_profiles/4,/repositories/12,A
/locations/1337,80830,/location_profiles/4,/repositories/12,A
/locations/1338,80769,/location_profiles/4,/repositories/12,A
/locations/1339,80775,/location_profiles/4,/repositories/12,A
/locations/1340,80781,/location_profiles/4,/repositories/12,A
/locations/1341,80787,/location_profiles/4,/repositories/12,A
/locations/1405,81648,/location_profiles/4,/repositories/12,A
/locations/1406,81654,/location_profiles/4,/repositories/12,A
/locations/1407,81660,/location_profiles/4,/repositories/12,A
/locations/1408,81666,/location_profiles/4,/repositories/12,A
/locations/1409,81672,/location_profiles/4,/repositories/12,A
/locations/1410,81678,/location_profiles/4,/repositories/12,A
/locations/1411,81684,/location_profiles/4,/repositories/12,A
/locations/1475,81583,/location_profiles/4,/repositories/12,A
/locations/356,81589,/location_profiles/4,/repositories/12,A
/locations/358,81595,/location_profiles/4,/repositories/12,A
/locations/324,81601,/location_profiles/4,/repositories/12,A
/locations/346,81607,/location_profiles/4,/repositories/12,A
/locations/396,81613,/location_profiles/4,/repositories/12,A
/locations/1476,81619,/location_profiles/4,/repositories/12,A
/locations/1536,81545,/location_profiles/4,/repositories/12,A
/locations/1537,81551,/location_profiles/4,/repositories/12,A
/locations/1538,80738,/location_profiles/4,/repositories/12,A
/locations/1539,80744,/location_profiles/4,/repositories/12,A
/locations/1540,80750,/location_profiles/4,/repositories/12,A
/locations/1541,80756,/location_profiles/4,/repositories/12,A
/locations/1542,80762,/location_profiles/4,/repositories/12,A
/locations/1607,81486,/location_profiles/4,/repositories/12,A
/locations/1608,81425,/location_profiles/4,/repositories/12,A
/locations/1609,81431,/location_profiles/4,/repositories/12,A
/locations/1610,81437,/location_profiles/4,/repositories/12,A
/locations/1611,81443,/location_profiles/4,/repositories/12,A
/locations/1612,81449,/location_profiles/4,/repositories/12,A
/locations/1677,81042,/location_profiles/4,/repositories/12,A
/locations/1678,81048,/location_profiles/4,/repositories/12,A
/locations/1679,81054,/location_profiles/4,/repositories/12,A
/locations/1680,81060,/location_profiles/4,/repositories/12,A
/locations/1681,81066,/location_profiles/4,/repositories/12,A
/locations/3538,81880,/location_profiles/4,/repositories/12,A
/locations/3539,81886,/location_profiles/4,/repositories/12,A
/locations/3540,81825,/location_profiles/4,/repositories/12,A
/locations/3541,81831,/location_profiles/4,/repositories/12,A
/locations/3542,81837,/location_profiles/4,/repositories/12,A
/locations/3543,81843,/location_profiles/4,/repositories/12,A
/locations/3603,81814,/location_profiles/4,/repositories/12,A
/locations/3604,81820,/location_profiles/4,/repositories/12,A
/locations/3605,81759,/location_profiles/4,/repositories/12,A
/locations/3606,81765,/location_profiles/4,/repositories/12,A
/locations/3607,81771,/location_profiles/4,/repositories/12,A
/locations/3608,81777,/location_profiles/4,/repositories/12,A
/locations/3669,81418,/location_profiles/4,/repositories/12,A
/locations/3670,81424,/location_profiles/4,/repositories/12,A
/locations/3671,81363,/location_profiles/4,/repositories/12,A
/locations/3672,81369,/location_profiles/4,/repositories/12,A
/locations/3673,81375,/location_profiles/4,/repositories/12,A
/locations/3674,81381,/location_profiles/4,/repositories/12,A
/locations/3735,81352,/location_profiles/4,/repositories/12,A
/locations/3736,81358,/location_profiles/4,/repositories/12,A
/locations/3737,81297,/location_profiles/4,/repositories/12,A
/locations/3738,81303,/location_profiles/4,/repositories/12,A
/locations/3739,81309,/location_profiles/4,/repositories/12,A
/locations/3740,81315,/location_profiles/4,/repositories/12,A
/locations/3801,81231,/location_profiles/4,/repositories/12,A
/locations/3802,81237,/location_profiles/4,/repositories/12,A
/locations/3803,81286,/location_profiles/4,/repositories/12,A
/locations/3804,81292,/location_profiles/4,/repositories/12,A
/locations/3805,81243,/location_profiles/4,/repositories/12,A
/locations/3806,81249,/location_profiles/4,/repositories/12,A
/locations/3867,81225,/location_profiles/4,/repositories/12,A
/locations/3868,81164,/location_profiles/4,/repositories/12,A
/locations/3869,81170,/location_profiles/4,/repositories/12,A
/locations/3870,81176,/location_profiles/4,/repositories/12,A
/locations/3871,81182,/location_profiles/4,/repositories/12,A
/locations/3872,81188,/location_profiles/4,/repositories/12,A
/locations/3088,81189,/location_profiles/4,/repositories/12,A
/locations/3089,81195,/location_profiles/4,/repositories/12,A
/locations/3090,81201,/location_profiles/4,/repositories/12,A
/locations/3091,81207,/location_profiles/4,/repositories/12,A
/locations/3092,81213,/location_profiles/4,/repositories/12,A
/locations/3093,81219,/location_profiles/4,/repositories/12,A
/locations/3925,81123,/location_profiles/4,/repositories/12,A
/locations/3926,81129,/location_profiles/4,/repositories/12,A
/locations/3927,81135,/location_profiles/4,/repositories/12,A
/locations/3928,81141,/location_profiles/4,/repositories/12,A
/locations/3929,81147,/location_profiles/4,/repositories/12,A
/locations/3930,81153,/location_profiles/4,/repositories/12,A
/locations/3478,81897,/location_profiles/4,/repositories/12,B
/locations/3479,81903,/location_profiles/4,/repositories/12,B
/locations/3480,81909,/location_profiles/4,/repositories/12,B
/locations/3481,81915,/location_profiles/4,/repositories/12,B
/locations/3482,81921,/location_profiles/4,/repositories/12,B
/locations/3483,81927,/location_profiles/4,/repositories/12,B
/locations/1342,80793,/location_profiles/4,/repositories/12,B
/locations/1343,80799,/location_profiles/4,/repositories/12,B
/locations/1344,80805,/location_profiles/4,/repositories/12,B
/locations/1345,80811,/location_profiles/4,/repositories/12,B
/locations/1346,80817,/location_profiles/4,/repositories/12,B
/locations/1347,80823,/location_profiles/4,/repositories/12,B
/locations/1348,80829,/location_profiles/4,/repositories/12,B
/locations/1412,81623,/location_profiles/4,/repositories/12,B
/locations/1413,81629,/location_profiles/4,/repositories/12,B
/locations/1414,81635,/location_profiles/4,/repositories/12,B
/locations/1415,81641,/location_profiles/4,/repositories/12,B
/locations/1416,81647,/location_profiles/4,/repositories/12,B
/locations/1417,81653,/location_profiles/4,/repositories/12,B
/locations/1418,81659,/location_profiles/4,/repositories/12,B
/locations/1477,81558,/location_profiles/4,/repositories/12,B
/locations/1478,81564,/location_profiles/4,/repositories/12,B
/locations/1479,81570,/location_profiles/4,/repositories/12,B
/locations/1480,81576,/location_profiles/4,/repositories/12,B
/locations/415,81582,/location_profiles/4,/repositories/12,B
/locations/414,81588,/location_profiles/4,/repositories/12,B
/locations/1481,81594,/location_profiles/4,/repositories/12,B
/locations/1543,80701,/location_profiles/4,/repositories/12,B
/locations/1544,80707,/location_profiles/4,/repositories/12,B
/locations/1545,80713,/location_profiles/4,/repositories/12,B
/locations/1546,80719,/location_profiles/4,/repositories/12,B
/locations/1547,80725,/location_profiles/4,/repositories/12,B
/locations/1548,80731,/location_profiles/4,/repositories/12,B
/locations/1549,80737,/location_profiles/4,/repositories/12,B
/locations/1614,81461,/location_profiles/4,/repositories/12,B
/locations/1615,81467,/location_profiles/4,/repositories/12,B
/locations/1616,81473,/location_profiles/4,/repositories/12,B
/locations/1617,81479,/location_profiles/4,/repositories/12,B
/locations/1618,81485,/location_profiles/4,/repositories/12,B
/locations/1619,81496,/location_profiles/4,/repositories/12,B
/locations/1684,81078,/location_profiles/4,/repositories/12,B
/locations/1685,81084,/location_profiles/4,/repositories/12,B
/locations/1686,81090,/location_profiles/4,/repositories/12,B
/locations/1687,81029,/location_profiles/4,/repositories/12,B
/locations/1688,81035,/location_profiles/4,/repositories/12,B
/locations/3544,81849,/location_profiles/4,/repositories/12,B
/locations/3545,81855,/location_profiles/4,/repositories/12,B
/locations/3546,81861,/location_profiles/4,/repositories/12,B
/locations/3547,81867,/location_profiles/4,/repositories/12,B
/locations/3548,81873,/location_profiles/4,/repositories/12,B
/locations/3549,81879,/location_profiles/4,/repositories/12,B
/locations/3609,81783,/location_profiles/4,/repositories/12,B
/locations/3610,81789,/location_profiles/4,/repositories/12,B
/locations/3611,81795,/location_profiles/4,/repositories/12,B
/locations/3612,81764,/location_profiles/4,/repositories/12,B
/locations/3613,81801,/location_profiles/4,/repositories/12,B
/locations/3614,81807,/location_profiles/4,/repositories/12,B
/locations/3675,81387,/location_profiles/4,/repositories/12,B
/locations/3676,81393,/location_profiles/4,/repositories/12,B
/locations/3677,81399,/location_profiles/4,/repositories/12,B
/locations/3678,81405,/location_profiles/4,/repositories/12,B
/locations/3679,81411,/location_profiles/4,/repositories/12,B
/locations/3680,81417,/location_profiles/4,/repositories/12,B
/locations/3741,81321,/location_profiles/4,/repositories/12,B
/locations/3742,81327,/location_profiles/4,/repositories/12,B
/locations/3743,81333,/location_profiles/4,/repositories/12,B
/locations/3744,81339,/location_profiles/4,/repositories/12,B
/locations/3745,81345,/location_profiles/4,/repositories/12,B
/locations/3746,81351,/location_profiles/4,/repositories/12,B
/locations/3807,81255,/location_profiles/4,/repositories/12,B
/locations/3808,81261,/location_profiles/4,/repositories/12,B
/locations/3809,81267,/location_profiles/4,/repositories/12,B
/locations/3810,81273,/location_profiles/4,/repositories/12,B
/locations/3811,81279,/location_profiles/4,/repositories/12,B
/locations/3812,81285,/location_profiles/4,/repositories/12,B
/locations/3873,81194,/location_profiles/4,/repositories/12,B
/locations/3874,81200,/location_profiles/4,/repositories/12,B
/locations/3875,81206,/location_profiles/4,/repositories/12,B
/locations/3876,81212,/location_profiles/4,/repositories/12,B
/locations/3877,81218,/location_profiles/4,/repositories/12,B
/locations/3878,81224,/location_profiles/4,/repositories/12,B
/locations/3094,81165,/location_profiles/4,/repositories/12,B
/locations/3095,81171,/location_profiles/4,/repositories/12,B
/locations/3096,81220,/location_profiles/4,/repositories/12,B
/locations/3097,81226,/location_profiles/4,/repositories/12,B
/locations/3098,81177,/location_profiles/4,/repositories/12,B
/locations/3099,81183,/location_profiles/4,/repositories/12,B
/locations/3931,81159,/location_profiles/4,/repositories/12,B
/locations/3932,81098,/location_profiles/4,/repositories/12,B
/locations/3933,81104,/location_profiles/4,/repositories/12,B
/locations/3934,81110,/location_profiles/4,/repositories/12,B
/locations/3935,81116,/location_profiles/4,/repositories/12,B
/locations/3936,81122,/location_profiles/4,/repositories/12,B
/locations/3484,81933,/location_profiles/4,/repositories/12,C
/locations/3485,81939,/location_profiles/4,/repositories/12,C
/locations/3486,81945,/location_profiles/4,/repositories/12,C
/locations/3487,81951,/location_profiles/4,/repositories/12,C
/locations/3488,81890,/location_profiles/4,/repositories/12,C
/locations/3489,81896,/location_profiles/4,/repositories/12,C
/locations/1349,80768,/location_profiles/4,/repositories/12,C
/locations/1350,80774,/location_profiles/4,/repositories/12,C
/locations/1351,80780,/location_profiles/4,/repositories/12,C
/locations/1352,80786,/location_profiles/4,/repositories/12,C
/locations/1353,80792,/location_profiles/4,/repositories/12,C
/locations/1354,80798,/location_profiles/4,/repositories/12,C
/locations/1355,80804,/location_profiles/4,/repositories/12,C
/locations/1420,81671,/location_profiles/4,/repositories/12,C
/locations/1421,81677,/location_profiles/4,/repositories/12,C
/locations/1422,81683,/location_profiles/4,/repositories/12,C
/locations/1423,81717,/location_profiles/4,/repositories/12,C
/locations/1424,81723,/location_profiles/4,/repositories/12,C
/locations/1425,81729,/location_profiles/4,/repositories/12,C
/locations/1482,81600,/location_profiles/4,/repositories/12,C
/locations/384,81606,/location_profiles/4,/repositories/12,C
/locations/407,81612,/location_profiles/4,/repositories/12,C
/locations/1483,81618,/location_profiles/4,/repositories/12,C
/locations/1484,81557,/location_profiles/4,/repositories/12,C
/locations/1485,81563,/location_profiles/4,/repositories/12,C
/locations/1486,81569,/location_profiles/4,/repositories/12,C
/locations/1550,80743,/location_profiles/4,/repositories/12,C
/locations/1551,80749,/location_profiles/4,/repositories/12,C
/locations/1552,80755,/location_profiles/4,/repositories/12,C
/locations/1553,80761,/location_profiles/4,/repositories/12,C
/locations/1554,80700,/location_profiles/4,/repositories/12,C
/locations/1555,80706,/location_profiles/4,/repositories/12,C
/locations/1556,80712,/location_profiles/4,/repositories/12,C
/locations/1621,81508,/location_profiles/4,/repositories/12,C
/locations/1622,81514,/location_profiles/4,/repositories/12,C
/locations/1623,81520,/location_profiles/4,/repositories/12,C
/locations/1624,81526,/location_profiles/4,/repositories/12,C
/locations/1625,81532,/location_profiles/4,/repositories/12,C
/locations/1626,81538,/location_profiles/4,/repositories/12,C
/locations/1691,81047,/location_profiles/4,/repositories/12,C
/locations/1692,81053,/location_profiles/4,/repositories/12,C
/locations/1693,81059,/location_profiles/4,/repositories/12,C
/locations/1694,81065,/location_profiles/4,/repositories/12,C
/locations/1695,81071,/location_profiles/4,/repositories/12,C
/locations/3550,81885,/location_profiles/4,/repositories/12,C
/locations/3551,81824,/location_profiles/4,/repositories/12,C
/locations/3552,81830,/location_profiles/4,/repositories/12,C
/locations/3553,81836,/location_profiles/4,/repositories/12,C
/locations/3554,81842,/location_profiles/4,/repositories/12,C
/locations/3555,81848,/location_profiles/4,/repositories/12,C
/locations/3615,81813,/location_profiles/4,/repositories/12,C
/locations/3616,81819,/location_profiles/4,/repositories/12,C
/locations/3617,81758,/location_profiles/4,/repositories/12,C
/locations/3618,81770,/location_profiles/4,/repositories/12,C
/locations/3619,81776,/location_profiles/4,/repositories/12,C
/locations/3620,81782,/location_profiles/4,/repositories/12,C
/locations/3681,81423,/location_profiles/4,/repositories/12,C
