uri,barcode,location_profile,owner_repo,room
/locations/2846,82151,/location_profiles/6,/repositories/12,
/locations/2835,82152,/location_profiles/6,/repositories/12,
/locations/277,82157,/location_profiles/6,/repositories/12,
/locations/2836,82158,/location_profiles/6,/repositories/12,
/locations/2837,82164,/location_profiles/6,/repositories/12,
/locations/2838,82170,/location_profiles/6,/repositories/12,
/locations/2839,82176,/location_profiles/6,/repositories/12,
/locations/2840,82182,/location_profiles/6,/repositories/12,
/locations/333,82183,/location_profiles/6,/repositories/12,
/locations/2841,82188,/location_profiles/6,/repositories/12,
/locations/272,82189,/location_profiles/6,/repositories/12,
/locations/2842,82194,/location_profiles/6,/repositories/12,
/locations/273,82195,/location_profiles/6,/repositories/12,
/locations/2843,82200,/location_profiles/6,/repositories/12,
/locations/2832,82201,/location_profiles/6,/repositories/12,
/locations/2844,82206,/location_profiles/6,/repositories/12,
/locations/2833,82207,/location_profiles/6,/repositories/12,
/locations/2845,82212,/location_profiles/6,/repositories/12,
/locations/2834,82213,/location_profiles/6,/repositories/12,
/locations/2343,82217,/location_profiles/6,/repositories/12,
/locations/2332,82218,/location_profiles/6,/repositories/12,
/locations/301,82219,/location_profiles/6,/repositories/12,
/locations/280,82220,/location_profiles/6,/repositories/12,
/locations/2313,82221,/location_profiles/6,/repositories/12,
/locations/2344,82223,/location_profiles/6,/repositories/12,
/locations/2333,82224,/location_profiles/6,/repositories/12,
/locations/292,82225,/location_profiles/6,/repositories/12,
/locations/2318,82226,/location_profiles/6,/repositories/12,
/locations/279,82227,/location_profiles/6,/repositories/12,
/locations/2345,82229,/location_profiles/6,/repositories/12,
/locations/2334,82230,/location_profiles/6,/repositories/12,
/locations/283,82231,/location_profiles/6,/repositories/12,
/locations/2319,82232,/location_profiles/6,/repositories/12,
/locations/2370,82233,/location_profiles/6,/repositories/12,
/locations/2346,82235,/location_profiles/6,/repositories/12,
/locations/2335,82236,/location_profiles/6,/repositories/12,
/locations/303,82237,/location_profiles/6,/repositories/12,
/locations/2320,82238,/location_profiles/6,/repositories/12,
/locations/335,82239,/location_profiles/6,/repositories/12,
/locations/2347,82241,/location_profiles/6,/repositories/12,
/locations/2336,82242,/location_profiles/6,/repositories/12,
/locations/297,82243,/location_profiles/6,/repositories/12,
/locations/2321,82244,/location_profiles/6,/repositories/12,
/locations/2314,82245,/location_profiles/6,/repositories/12,
/locations/2348,82247,/location_profiles/6,/repositories/12,
/locations/2337,82248,/location_profiles/6,/repositories/12,
/locations/308,82249,/location_profiles/6,/repositories/12,
/locations/2322,82250,/location_profiles/6,/repositories/12,
/locations/2315,82251,/location_profiles/6,/repositories/12,
/locations/2349,82253,/location_profiles/6,/repositories/12,
/locations/2338,82254,/location_profiles/6,/repositories/12,
/locations/2327,82255,/location_profiles/6,/repositories/12,
/locations/2323,82256,/location_profiles/6,/repositories/12,
/locations/2316,82257,/location_profiles/6,/repositories/12,
/locations/2350,82259,/location_profiles/6,/repositories/12,
/locations/2339,82260,/location_profiles/6,/repositories/12,
/locations/2328,82261,/location_profiles/6,/repositories/12,
/locations/2324,82262,/location_profiles/6,/repositories/12,
/locations/2317,82263,/location_profiles/6,/repositories/12,
/locations/2309,82264,/location_profiles/6,/repositories/12,
/locations/2351,82265,/location_profiles/6,/repositories/12,
/locations/2340,82266,/location_profiles/6,/repositories/12,
/locations/2329,82267,/location_profiles/6,/repositories/12,
/locations/310,82268,/location_profiles/6,/repositories/12,
/locations/274,82269,/location_profiles/6,/repositories/12,
/locations/2310,82270,/location_profiles/6,/repositories/12,
/locations/2352,82271,/location_profiles/6,/repositories/12,
/locations/2341,82272,/location_profiles/6,/repositories/12,
/locations/2330,82273,/location_profiles/6,/repositories/12,
/locations/2325,82274,/location_profiles/6,/repositories/12,
/locations/275,82275,/location_profiles/6,/repositories/12,
/locations/2311,82276,/location_profiles/6,/repositories/12,
/locations/2353,82277,/location_profiles/6,/repositories/12,
/locations/2342,82278,/location_profiles/6,/repositories/12,
/locations/2331,82279,/location_profiles/6,/repositories/12,
/locations/2326,82280,/location_profiles/6,/repositories/12,
/locations/2371,82281,/location_profiles/6,/repositories/12,
/locations/2312,82282,/location_profiles/6,/repositories/12,
/locations/2859,82349,/location_profiles/9,/repositories/12,
/locations/3165,82351,/location_profiles/6,/repositories/12,
/locations/309,82352,/location_profiles/6,/repositories/12,
/locations/302,82353,/location_profiles/6,/repositories/12,
/locations/282,82354,/location_profiles/6,/repositories/12,
/locations/2860,82355,/location_profiles/9,/repositories/12,
/locations/3166,82357,/location_profiles/6,/repositories/12,
/locations/284,82358,/location_profiles/6,/repositories/12,
/locations/304,82359,/location_profiles/6,/repositories/12,
/locations/285,82360,/location_profiles/6,/repositories/12,
/locations/2861,82361,/location_profiles/9,/repositories/12,
/locations/2850,82362,/location_profiles/9,/repositories/12,
/locations/3990,82363,/location_profiles/6,/repositories/12,
/locations/227,82364,/location_profiles/6,/repositories/12,
/locations/2366,82365,/location_profiles/6,/repositories/12,
