barcode,building,,coordinate_1_label,coordinate_2_indicator,coordinate_1_indicator,coordinate_2_label,coordinate_2_indicator,coordinate_3_label,coordinate_3_indicator,dimensions (width x height x depth,repo_uri,,,,,,,
/locations/2730,82657,/location_profiles/22,/repositories/12,A,"SML, B51-B [Range: 1, Section: a, Shelf: 1]",SML,B51-B,Range,1,Section,,Shelf,1,6/1/15 15:51,admin,10/31/18 15:55,amd243,
/locations/2731,82663,/location_profiles/17,/repositories/12,A,"SML, B51-B [Range: 1, Section: a, Shelf: 2]",SML,B51-B,Range,1,Section,,Shelf,2,6/1/15 15:51,admin,10/31/18 16:00,amd243,
/locations/2732,82669,/location_profiles/17,/repositories/12,A,"SML, B51-B [Range: 1, Section: a, Shelf: 3]",SML,B51-B,Range,1,Section,,Shelf,3,6/1/15 15:51,admin,10/31/18 16:05,amd243,
/locations/2733,82675,/location_profiles/18,/repositories/12,A,"SML, B51-B [Range: 1, Section: a, Shelf: 4]",SML,B51-B,Range,1,Section,,Shelf,4,6/1/15 15:51,admin,10/31/18 16:11,amd243,
/locations/2734,82614,/location_profiles/18,/repositories/12,A,"SML, B51-B [Range: 1, Section: a, Shelf: 5]",SML,B51-B,Range,1,Section,,Shelf,5,6/1/15 15:51,admin,10/31/18 16:16,amd243,
/locations/2736,82620,/location_profiles/21,/repositories/12,B,"SML, B51-B [Range: 1, Section: b, Shelf: 1]",SML,B51-B,Range,1,Section,,Shelf,1,6/1/15 15:51,admin,10/31/18 15:55,amd243,
/locations/2737,82626,/location_profiles/17,/repositories/12,B,"SML, B51-B [Range: 1, Section: b, Shelf: 2]",SML,B51-B,Range,1,Section,,Shelf,2,6/1/15 15:51,admin,10/31/18 16:00,amd243,
/locations/2738,82632,/location_profiles/17,/repositories/12,B,"SML, B51-B [Range: 1, Section: b, Shelf: 3]",SML,B51-B,Range,1,Section,,Shelf,3,6/1/15 15:51,admin,10/31/18 16:05,amd243,
/locations/2739,82638,/location_profiles/18,/repositories/12,B,"SML, B51-B [Range: 1, Section: b, Shelf: 4]",SML,B51-B,Range,1,Section,,Shelf,4,6/1/15 15:51,admin,10/31/18 16:11,amd243,
/locations/2740,82644,/location_profiles/18,/repositories/12,B,"SML, B51-B [Range: 1, Section: b, Shelf: 5]",SML,B51-B,Range,1,Section,,Shelf,5,6/1/15 15:51,admin,10/31/18 16:16,amd243,
