location_uri,barcode,dimensions,repo_owner,coordinate_2_indicator,title,building,
/locations/2091,82745,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 1, Section: a, Shelf: 1]",SML,
/locations/2092,82751,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 1, Section: a, Shelf: 2]",SML,
/locations/2093,82757,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 1, Section: a, Shelf: 3]",SML,
/locations/2094,82763,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 1, Section: a, Shelf: 4]",SML,
/locations/2095,83072,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 1, Section: a, Shelf: 5]",SML,
/locations/2096,83011,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 1, Section: a, Shelf: 6]",SML,
/locations/2097,82746,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 1, Section: b, Shelf: 1]",SML,
/locations/2098,82752,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 1, Section: b, Shelf: 2]",SML,
/locations/2099,82758,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 1, Section: b, Shelf: 3]",SML,
/locations/2100,82764,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 1, Section: b, Shelf: 4]",SML,
/locations/2101,82770,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 1, Section: b, Shelf: 5]",SML,
/locations/2102,82776,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 1, Section: b, Shelf: 6]",SML,
/locations/3274,82893,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 3, Section: a, Shelf: 6]",SML,
/locations/3973,82891,/location_profiles/28,/repositories/12,D,"SML, B57-B [Range: 3, Section: d, Shelf: 7]",SML,
/locations/3967,82897,/location_profiles/28,/repositories/12,E,"SML, B57-B [Range: 3, Section: e, Shelf: 6]",SML,
/locations/1789,83017,/location_profiles/10,/repositories/12,A,"SML, B70-B [Range: 1, Section: a, Shelf: 1]",SML,
/locations/1790,83023,/location_profiles/10,/repositories/12,A,"SML, B70-B [Range: 1, Section: a, Shelf: 2]",SML,
/locations/1791,83029,/location_profiles/10,/repositories/12,A,"SML, B70-B [Range: 1, Section: a, Shelf: 3]",SML,
/locations/1792,83035,/location_profiles/10,/repositories/12,A,"SML, B70-B [Range: 1, Section: a, Shelf: 4]",SML,
/locations/1793,83041,/location_profiles/10,/repositories/12,A,"SML, B70-B [Range: 1, Section: a, Shelf: 5]",SML,
