uri,barcode,location_profile,,coordinate_2_indicator
/locations/524,83115,/location_profiles/4,/repositories/12,D
/locations/525,83121,/location_profiles/4,/repositories/12,D
/locations/526,83127,/location_profiles/4,/repositories/12,D
/locations/527,83133,/location_profiles/4,/repositories/12,D
/locations/529,83139,/location_profiles/4,/repositories/12,D
/locations/530,83078,/location_profiles/4,/repositories/12,D
/locations/531,83126,/location_profiles/5,/repositories/12,F
/locations/1746,83132,/location_profiles/4,/repositories/12,F
/locations/1747,83138,/location_profiles/4,/repositories/12,F
/locations/1748,83077,/location_profiles/4,/repositories/12,F
/locations/1749,83083,/location_profiles/4,/repositories/12,F
/locations/1750,83089,/location_profiles/4,/repositories/12,F
/locations/1751,83095,/location_profiles/4,/repositories/12,F
/locations/1752,83101,/location_profiles/5,/repositories/12,G
/locations/1753,83107,/location_profiles/4,/repositories/12,G
/locations/1754,83113,/location_profiles/4,/repositories/12,G
/locations/1755,83119,/location_profiles/4,/repositories/12,G
/locations/1756,83125,/location_profiles/4,/repositories/12,G
/locations/1757,83131,/location_profiles/4,/repositories/12,G
/locations/1758,83137,/location_profiles/4,/repositories/12,G
/locations/1759,83076,/location_profiles/5,/repositories/12,H
/locations/1760,83082,/location_profiles/4,/repositories/12,H
/locations/1761,83088,/location_profiles/4,/repositories/12,H
/locations/1762,83094,/location_profiles/4,/repositories/12,H
/locations/1763,83100,/location_profiles/4,/repositories/12,H
/locations/1764,83106,/location_profiles/4,/repositories/12,H
/locations/1765,83112,/location_profiles/5,/repositories/12,H
/locations/1766,83118,/location_profiles/5,/repositories/12,I
/locations/1767,83124,/location_profiles/4,/repositories/12,I
/locations/1768,83130,/location_profiles/4,/repositories/12,I
/locations/1769,83136,/location_profiles/4,/repositories/12,I
/locations/1770,83075,/location_profiles/4,/repositories/12,I
/locations/1771,83081,/location_profiles/4,/repositories/12,I
/locations/1772,83087,/location_profiles/4,/repositories/12,I
/locations/1773,83093,/location_profiles/5,/repositories/12,J
/locations/1774,83099,/location_profiles/4,/repositories/12,J
/locations/1775,83105,/location_profiles/4,/repositories/12,J
/locations/1776,83111,/location_profiles/4,/repositories/12,J
/locations/1777,83117,/location_profiles/4,/repositories/12,J
/locations/1778,83123,/location_profiles/4,/repositories/12,J
/locations/1779,83129,/location_profiles/4,/repositories/12,J
/locations/1780,83135,/location_profiles/5,/repositories/12,K
/locations/1781,82948,/location_profiles/4,/repositories/12,K
/locations/1782,82954,/location_profiles/4,/repositories/12,K
/locations/1783,82960,/location_profiles/4,/repositories/12,K
/locations/1784,82966,/location_profiles/4,/repositories/12,K
/locations/1785,82972,/location_profiles/4,/repositories/12,K
/locations/1786,82978,/location_profiles/4,/repositories/12,K
